corrected_grade,COURSE_NAME,COURSE_NUMBER,grade_type,inc_ovrdue?,inc_pfa?,inc_project?,LETTER_GRADE,stu_crs_lookup,STUDENT_ID,Max. ADDL_EXPECTED_PCNT,Max. COG_SKILL_PCNT,Max. CONCEPT_PCNT,Max. NUM_PROJECTS_OVERDUE,Max. OVERALL_SCORE,Max. POWER_EXPECTED_PCNT
B+,RA-AP Spanish Language,E400,project,FALSE,FALSE,FALSE,B+,30574 E400,30574,100,,,0,87,100
A+,Sociology of Law,G102,a_f_elec,FALSE,FALSE,FALSE,A+,30574 G102,30574,100,100,,0,100,100
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,B,30574 I136,30574,100,79,,0,85,100
B,RA-AP Government,A400,project,FALSE,FALSE,FALSE,B,30575 A400,30575,50,85,,0,85,100
A,RA-AP English Literature,B400,project,FALSE,FALSE,FALSE,A,30575 B400,30575,40,97,,0,93,100
B+,RA-AP Calculus AB,C400,project,FALSE,FALSE,FALSE,B+,30575 C400,30575,60,93,82,0,87,100
I,RA-AP Environmental Science,D430,project,TRUE,FALSE,FALSE,I,30575 D430,30575,54,92,,1,90,100
A-,RA-Spanish 3,E300,project,FALSE,FALSE,FALSE,A-,30575 E300,30575,50,,,0,92,100
P,Internship,I139,pnp_elec,FALSE,FALSE,FALSE,B+,30575 I139,30575,100,81,,0,87,100
A+,RA-AP US History,A300,project,FALSE,FALSE,FALSE,A+,30577 A300,30577,100,95,,0,97,100
A-,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,A-,30577 B300,30577,100,89,,0,92,100
A,RA-AP Calculus AB,C400,project,FALSE,FALSE,FALSE,A,30577 C400,30577,100,94,92,0,95,100
A+,RA-Chemistry 11th,D200,project,FALSE,FALSE,FALSE,A+,30577 D200,30577,100,95,,0,97,100
A+,RA-Spanish 3,E300,project,FALSE,FALSE,FALSE,A+,30577 E300,30577,100,,,0,99,100
A+,Exploring Music,F512,a_f_elec,FALSE,FALSE,FALSE,A+,30577 F512,30577,100,100,,0,100,100
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,A+,30577 I136,30577,100,96,,0,97,100
,Teaching Assistant (all courses) (E),I136,pnp_elec,FALSE,FALSE,FALSE,,30577 I136,30577,,,,0,,
B-,RA-AP US History,A300,project,FALSE,FALSE,FALSE,B-,30578 A300,30578,0,85,,0,81,100
B-,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,B-,30578 B300,30578,33,80,,0,80,100
I,RA-Math III,C320,project,FALSE,TRUE,FALSE,I,30578 C320,30578,0,85,78,0,75,87
B,RA-Chemistry 11th,D200,project,FALSE,FALSE,FALSE,B,30578 D200,30578,0,93,,0,86,100
I,RA-Spanish 3,E300,project,TRUE,TRUE,FALSE,I,30578 E300,30578,0,,,1,77,66
A-,Exploring Music,F512,a_f_elec,FALSE,FALSE,FALSE,A-,30578 F512,30578,100,88,,0,92,100
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,A+,30578 I136,30578,100,95,,0,97,100
,Teaching Assistant (all courses) (E),I136,pnp_elec,FALSE,FALSE,FALSE,,30578 I136,30578,,,,0,,
A-,RA-AP US History,A300,project,FALSE,FALSE,FALSE,A-,30579 A300,30579,100,87,,0,91,100
B-,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,B-,30579 B300,30579,100,74,,0,82,100
A-,RA-Math III,C320,project,FALSE,FALSE,FALSE,A-,30579 C320,30579,100,91,85,0,91,100
A-,RA-Chemistry 11th,D200,project,FALSE,FALSE,FALSE,A-,30579 D200,30579,100,87,,0,91,100
B+,RA-Spanish 3,E300,project,FALSE,FALSE,FALSE,B+,30579 E300,30579,66,,,0,87,100
A+,Sociology of Law,G102,a_f_elec,FALSE,FALSE,FALSE,A+,30579 G102,30579,100,100,,0,100,100
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,B+,30579 I136,30579,100,83,,0,88,100
A,RA-AP US History,A300,project,FALSE,FALSE,FALSE,A,30580 A300,30580,92,92,,0,94,100
B+,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,B+,30580 B300,30580,100,84,,0,89,100
A,RA-Math III,C320,project,FALSE,FALSE,FALSE,A,30580 C320,30580,100,89,95,0,95,100
A,RA-Chemistry 11th,D200,project,FALSE,FALSE,FALSE,A,30580 D200,30580,83,92,,0,93,100
