corrected_grade,COURSE_NAME,COURSE_NUMBER,date_of_pull,grade_type,inc_reason,LETTER_GRADE,SIS_SECTION_ID,stu_crs_lookup,STUDENT_ID,Max. ADDL_EXPECTED_PCNT,Max. COG_SKILL_PCNT,Max. CONCEPT_PCNT,Max. NUM_PROJECTS_OVERDUE,Max. OVERALL_SCORE,Max. POWER_EXPECTED_PCNT
A,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,76833_2017-08-15,11527 D430,11527,53,96,,0,93,100
P,Independent Study,I106,6/15/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,81169_2017-08-15,11527 I106,11527,100,90,,0,93,100
A,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,76799_2017-08-15,11530 A400,11530,80,95,,0,95,100
A,SP-AP English Literature,B400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,76850_2017-08-15,11530 B400,11530,83,96,,0,96,100
A,SP-AP Statistics,C420,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,76845_2017-08-15,11530 C420,11530,50,100,96,0,94,100
A,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,76891_2017-08-15,11530 D430,11530,76,96,,0,95,100
P,Internship,I139,6/15/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,81179_2017-08-15,11530 I139,11530,100,95,,0,97,100
C,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C,76810_2017-08-15,11532 A400,11532,0,78,,0,76,100
C,SP-AP English Literature,B400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C,76855_2017-08-15,11532 B400,11532,16,77,,0,76,100
C+,SP-AP Statistics,C420,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C+,76813_2017-08-15,11532 C420,11532,0,90,72,0,77,100
C+,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C+,76802_2017-08-15,11532 D430,11532,15,78,,0,77,100
C+,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C+,76833_2017-08-15,11532 D430,11532,15,78,,0,77,100
P,Independent Study,I106,6/15/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,81169_2017-08-15,11532 I106,11532,100,87,,0,91,100
A-,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,76799_2017-08-15,11534 A400,11534,100,86,,0,90,100
A-,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,76893_2017-08-15,11534 A400,11534,100,86,,0,90,100
